Sku,ImageHeight,ImageWidth
p:/05_Calendar Images/03_2017_Cal_AMZ/DET101763.jpg,822,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/LAX101823.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/ISP101925.jpg,1024,819
p:/05_Calendar Images/03_2017_Cal_AMZ/BUF102077.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CHS101835.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/BAL101785.jpg,1024,820
p:/05_Calendar Images/03_2017_Cal_AMZ/MIL101969.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/STL.101808.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/NYC101654.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/PHI101846.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102054.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/PVD100715.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CHS101826.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/SAV101887.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/BAL101781.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CLE101739.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/STL101803.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/BAL101783.jpg,1024,820
p:/05_Calendar Images/03_2017_Cal_AMZ/ISP101929.jpg,1024,820
p:/05_Calendar Images/03_2017_Cal_AMZ/NWJ101945.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/PITT101745.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/BOS101865.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/NWJ101939.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/NIA101970.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/SEA101795.jpg,1024,820
p:/05_Calendar Images/03_2017_Cal_AMZ/SEA101791.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/NIA101728.jpg,1024,820
